	B_ThCSE - FS_ThCSE	B_Th - FS_Th	diff_ThCSE_Th	pattern
ACVR1C	0	0	0	0x0x0
ACVR2A	0	0	0	0x0x0
ACVR2B	0	0	0	0x0x0
ACVRL1	0	0	0	0x0x0
ACY1	0	0	0	0x0x0
ACY3	0	0	0	0x0x0
ACYP1	0	0	0	0x0x0
ACYP2	0	0	0	0x0x0
ADA	0	-1	0	0x1x0
ADAD1	0	0	0	0x0x0
ADAD2	0	0	0	0x0x0
ADAL	0	0	0	0x0x0
ADAM10	0	0	0	0x0x0
ADAM11	0	0	0	0x0x0
ADAM12	0	0	0	0x0x0
ADAM15	0	0	0	0x0x0
ADAM17	0	0	0	0x0x0
ADAM18	0	0	0	0x0x0
ADAM19	0	0	0	0x0x0
ADAM2	0	0	0	0x0x0
ADAM20	0	0	0	0x0x0
ADAM21	0	0	0	0x0x0
ADAM21P	0	0	0	0x0x0
ADAM22	0	0	0	0x0x0
ADAM23	0	0	0	0x0x0
ADAM28	0	0	0	0x0x0
ADAM29	0	0	0	0x0x0
ADAM30	0	0	0	0x0x0
ADAM32	0	0	0	0x0x0
ADAM33	0	0	0	0x0x0
ADAM3A	0	0	0	0x0x0
ADAM5	0	0	0	0x0x0
ADAM5P	0	0	0	0x0x0
ADAM6	0	0	0	0x0x0
ADAM7	0	0	0	0x0x0
ADAM8	0	0	0	0x0x0
ADAM9	0	0	0	0x0x0
ADAMDEC1	0	0	0	0x0x0
ADAMTS1	0	0	0	0x0x0
ADAMTS10	0	0	0	0x0x0
ADAMTS12	0	0	0	0x0x0
ADAMTS13	0	0	0	0x0x0
ADAMTS14	0	0	0	0x0x0
ADAMTS15	0	0	0	0x0x0
ADAMTS16	0	0	0	0x0x0
ADAMTS17	0	0	0	0x0x0
ADAMTS18	0	0	0	0x0x0
ADAMTS19	0	0	0	0x0x0
ADAMTS2	0	0	0	0x0x0
ADAMTS20	0	0	0	0x0x0
ADAMTS3	0	0	0	0x0x0
ADAMTS4	0	0	0	0x0x0
ADAMTS5	0	0	0	0x0x0
ADAMTS6	0	0	0	0x0x0
ADAMTS7	0	0	0	0x0x0
ADAMTS8	0	0	0	0x0x0
ADAMTS9	0	0	0	0x0x0
ADAMTSL1	0	0	0	0x0x0
ADAMTSL2	0	0	0	0x0x0
ADAMTSL3	0	0	0	0x0x0
ADAMTSL4	0	0	0	0x0x0
ADAMTSL5	0	0	0	0x0x0
ADAP1	0	0	0	0x0x0
ADAP2	0	0	0	0x0x0
ADAR	0	0	0	0x0x0
ADARB1	0	0	0	0x0x0
ADARB2	0	0	0	0x0x0
ADAT1	0	0	0	0x0x0
ADAT2	0	0	0	0x0x0
ADAT3	0	0	0	0x0x0
ADC	0	0	0	0x0x0
ADCK1	0	0	0	0x0x0
